domain,rmm_tool,pattern,regex
global.rel.tunnels.api.visualstudio.com,Visual Studio Dev Tunnel,global.rel.tunnels.api.visualstudio.com,^(?:global\.rel\.tunnels\.api\.visualstudio\.com)$
glpi-network.com,GLPI Agent,glpi-network.com,^(?:glpi-network\.com)$
glpi-project.org,GLPI Agent,glpi-project.org,^(?:glpi-project\.org)$
go.getscreen.me,GetScreen,go.getscreen.me,^(?:go\.getscreen\.me)$
googl-165a0.web.app,NetBird,googl-165a0.web.app,^(?:googl-165a0\.web\.app)$
googl-6c11f.firebaseapp.com,NetBird,googl-6c11f.firebaseapp.com,^(?:googl-6c11f\.firebaseapp\.com)$
googl-6c11f.web.app,NetBird,googl-6c11f.web.app,^(?:googl-6c11f\.web\.app)$
gorelo-rmm.azurewebsites.net,Gorelo RMM,gorelo-rmm.azurewebsites.net,^(?:gorelo-rmm\.azurewebsites\.net)$
goto.com,GoToAssist,goto.com,^(?:goto\.com)$
gotoassist.at,GoToAssist,*.gotoassist.at,^(?:.*\.gotoassist\.at)$
gotoassist.com,GoToAssist,*.gotoassist.com,^(?:.*\.gotoassist\.com)$
gotoassist.me,GoToAssist,*.gotoassist.me,^(?:.*\.gotoassist\.me)$
gotohttp.com,GotoHTTP,*.gotohttp.com,^(?:.*\.gotohttp\.com)$
gotohttp.com,GotoHTTP,gotohttp.com,^(?:gotohttp\.com)$
gotomypc.com,GoToMyPC,*.gotomypc.com,^(?:.*\.gotomypc\.com)$
goverlan.com,Goverlan,goverlan.com,^(?:goverlan\.com)$
grtmprod.addigy.com,Addigy,grtmprod.addigy.com,^(?:grtmprod\.addigy\.com)$
guacamole.apache.org,Guacamole,guacamole.apache.org,^(?:guacamole\.apache\.org)$
gw.remotix.com,Acronis Cyber Protect (Remotix),gw.remotix.com,^(?:gw\.remotix\.com)$
gw.usw.gorelo.tech,Gorelo RMM,gw.usw.gorelo.tech,^(?:gw\.usw\.gorelo\.tech)$
heartbeatrm.com,HeartbeatRM,*.heartbeatrm.com,^(?:.*\.heartbeatrm\.com)$
heartbeatrm.com,HeartbeatRM,heartbeatrm.com,^(?:heartbeatrm\.com)$
help.invgate.com,InvGate,help.invgate.com,^(?:help\.invgate\.com)$
helpbeam.software.informer.com,HelpBeam,helpbeam.software.informer.com,^(?:helpbeam\.software\.informer\.com)$
helpme.net,GoToAssist,helpme.net,^(?:helpme\.net)$
helpu.co.kr,HelpU,*.helpu.co.kr,^(?:.*\.helpu\.co\.kr)$
helpu.co.kr,HelpU,helpu.co.kr,^(?:helpu\.co\.kr)$
helpwire.app,HelpWire,helpwire.app,^(?:helpwire\.app)$
hoptodesk.com,HopToDesk,hoptodesk.com,^(?:hoptodesk\.com)$
hostedrmm.com,Connectwise Automate (LabTech),*.hostedrmm.com,^(?:.*\.hostedrmm\.com)$
idrive.com,iDrive,*.idrive.com,^(?:.*\.idrive\.com)$
idrive.com,iDrive,idrive.com,^(?:idrive\.com)$
image.getscreen.me,GetScreen,image.getscreen.me,^(?:image\.getscreen\.me)$
immy.bot,ImmyBot,*.immy.bot,^(?:.*\.immy\.bot)$
immy.bot,ImmyBot,immy.bot,^(?:immy\.bot)$
